S. No.,QUESTIONS,OPTION-A,OPTION-B,OPTION-C,OPTION-D,CORRECT ANSWER
1,What is the capital of India?,Mumbai,New Delhi,Kolkata,Chennai,B
2,Who is the current President of India?,Ram Nath Kovind,Pranab Mukherjee,Droupadi Murmu,Narendra Modi,C
3,What is the square root of 144?,10,11,12,13,C
4,Which of the following is the largest planet in our Solar System?,Earth,Mars,Jupiter,Saturn,C
5,Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Leo Tolstoy,Jane Austen,A
6,Who is known as the Father of the Nation in India?,Jawaharlal Nehru,Sardar Patel,Mahatma Gandhi,Subhas Chandra Bose,C
7,The currency of Japan is:,Yen,Dollar,Rupee,Won,A
8,What is the largest continent by area?,Asia,Africa,North America,Europe,A
9,What is the chemical formula for water?,H2O,CO2,O2,H2O2,A
10,Who discovered the law of gravity?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,B
11,What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,B
12,What is the national flower of India?,Lotus,Rose,Lily,Jasmine,A
13,In which year did India gain independence?,1947,1950,1942,1965,A
14,The longest river in the world is:,Amazon,Nile,Ganges,Mississippi,B
15,Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt,A
16,The Great Wall of China was primarily built to protect China from which invader?,Mongols,Japanese,Romans,French,A
17,The currency of the United Kingdom is:,Dollar,Euro,Pound,Yen,C
18,Who was the first man to walk on the moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,John Glenn,A
19,Which of the following is the longest river in India?,Yamuna,Ganges,Brahmaputra,Godavari,B
20,The highest mountain in the world is:,K2,Everest,Kanchenjunga,Kilimanjaro,B
21,"Which planet is known as the ""Red Planet""?",Venus,Mars,Jupiter,Saturn,B
22,Who invented the light bulb?,Nikola Tesla,Thomas Edison,Benjamin Franklin,Alexander Graham Bell,B
23,The first person to reach Mount Everest was:,Sir Edmund Hillary,Tenzing Norgay,George Mallory,Reinhold Messner,A
24,What is the capital of France?,Berlin,Madrid,Paris,Rome,C
25,Which organ in the human body is primarily responsible for pumping blood?,Brain,Heart,Lungs,Kidney,B
26,What is the currency of the United States?,Pound,Euro,Dollar,Yen,C
27,Who is the author of 'Harry Potter' series?,J.K. Rowling,George R.R. Martin,J.R.R. Tolkien,Suzanne Collins,A
28,The Eiffel Tower is located in which city?,London,Paris,Rome,Berlin,B
29,What is the chemical symbol for gold?,Ag,Au,Pb,Fe,B
30,Who painted the 'Mona Lisa'?,Vincent Van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,C
31,What is the speed of light?,3×10^8 m/s,3×10^9 m/s,2×10^8 m/s,2×10^9 m/s,A
32,In which year did World War II end?,1943,1945,1950,1947,B
33,Who was the first President of the United States?,Thomas Jefferson,George Washington,Abraham Lincoln,John Adams,B
34,The largest desert in the world is the:,Sahara,Kalahari,Gobi,Atacama,A
35,Who discovered penicillin?,Marie Curie,Albert Einstein,Alexander Fleming,Isaac Newton,C
36,What is the atomic number of carbon?,6,12,8,14,A
37,The longest river in the world is the:,Nile,Amazon,Yangtze,Ganges,A
38,Which country is known as the Land of the Rising Sun?,China,Japan,South Korea,India,B
39,What is the national animal of India?,Lion,Elephant,Tiger,Peacock,C
40,The famous painting 'The Last Supper' was created by:,Raphael,Leonardo da Vinci,Vincent Van Gogh,Pablo Picasso,B
41,What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,C
42,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Jacqueline Cochran,Bessie Coleman,Sally Ride,A
43,Which gas do plants absorb for photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,B
44,The currency of Germany is:,Euro,Dollar,Pound,Yen,A
45,Which is the largest island in the world?,Australia,Greenland,New Guinea,Borneo,B
46,Who wrote 'The Hobbit'?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,George Orwell,A
47,Who invented the airplane?,Orville Wright,Leonardo da Vinci,Wilbur Wright,Amelia Earhart,C
48,Which ocean is the largest?,Atlantic,Pacific,Indian,Arctic,B
49,Which element is the most abundant in the Earth's crust?,Oxygen,Silicon,Iron,Magnesium,A
50,Who is known as the 'Father of the Indian Constitution'?,Jawaharlal Nehru,Sardar Patel,Dr. B.R. Ambedkar,Mahatma Gandhi,C
